"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"ENSG00000155189",248.1411,0.5845331,0.2543008,2.298589,0.02152827,0.1117326,FALSE
"ENSG00000155229",1175.164,0.0694259,0.1149411,0.6040131,0.5458349,0.800646,FALSE
"ENSG00000155249",0,NA,NA,NA,NA,NA,NA
"ENSG00000155252",1184.316,-0.2460037,0.1025988,-2.397724,0.01649727,0.09375278,FALSE
"ENSG00000155254",2485.329,0.123041,0.09354285,1.315344,0.1883943,0.4637892,FALSE
"ENSG00000155256",416.1978,-0.102078,0.1249107,-0.8172075,0.4138098,0.708331,FALSE
"ENSG00000155265",0.1060739,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000155269",22.69646,-1.772862,0.5177839,-3.423942,0.0006171988,0.007044066,FALSE
"ENSG00000155275",184.5419,0.03012851,0.1992703,0.1511942,0.8798226,0.9654022,FALSE
"ENSG00000155287",495.0985,-0.08006361,0.1673948,-0.4782922,0.6324423,0.8561513,FALSE
"ENSG00000155304",741.578,0.02773661,0.1078067,0.2572809,0.7969619,0.9350781,FALSE
"ENSG00000155307",0.6351825,-0.3632249,2.120605,-0.1712836,0.8640008,NA,FALSE
"ENSG00000155313",1633.411,-0.2687665,0.1417669,-1.895835,0.05798193,0.2227723,FALSE
"ENSG00000155324",708.6188,1.248848,0.3446124,3.623921,0.0002901701,0.003834752,FALSE
"ENSG00000155329",173.5761,0.1971655,0.2021075,0.9755478,0.3292886,0.6353772,FALSE
"ENSG00000155330",109.3525,-0.05388284,0.3052531,-0.1765186,0.8598866,0.9600246,FALSE
"ENSG00000155363",860.7348,-0.2029646,0.197134,-1.029577,0.3032087,0.6063773,FALSE
"ENSG00000155366",4157.726,0.09951652,0.1511692,0.6583119,0.5103377,0.777181,FALSE
"ENSG00000155367",14.80518,0.3729883,0.4620735,0.8072058,0.4195479,0.7132701,FALSE
"ENSG00000155368",752.6088,0.2191813,0.1553969,1.410461,0.1584037,0.41961,FALSE
"ENSG00000155380",385.0331,-0.2248275,0.123067,-1.82687,0.06771926,0.24647,FALSE
"ENSG00000155393",239.901,0.5350742,0.3623694,1.476599,0.1397832,0.3884434,FALSE
"ENSG00000155428",5.897898,-0.05831359,1.172935,-0.04971598,0.9603487,NA,FALSE
"ENSG00000155438",413.5849,0.1910649,0.2180705,0.8761613,0.3809423,0.6798201,FALSE
"ENSG00000155463",1898.553,-0.1408384,0.08875972,-1.586737,0.1125721,0.341254,FALSE
"ENSG00000155465",145.9433,0.1744785,0.2193636,0.7953846,0.4263898,0.7175393,FALSE
"ENSG00000155495",0.2130927,-1.231274,3.528719,-0.3489294,0.7271423,NA,FALSE
"ENSG00000155506",4275.375,0.2611575,0.1426259,1.831067,0.06709057,0.2450173,FALSE
"ENSG00000155508",786.452,0.4981666,0.1595582,3.122163,0.001795276,0.01690887,FALSE
"ENSG00000155511",2875.44,0.8664957,0.2717386,3.18871,0.001429091,0.01404515,FALSE
"ENSG00000155530",3.147854,0.2606912,0.980896,0.2657684,0.7904176,NA,FALSE
"ENSG00000155542",56.92051,-0.3195352,0.3089552,-1.034244,0.3010219,0.6044785,FALSE
"ENSG00000155545",447.5216,-0.01451983,0.17062,-0.08510042,0.9321816,0.9817883,FALSE
"ENSG00000155561",860.5483,-0.2781869,0.147967,-1.880061,0.06009979,0.2278947,FALSE
"ENSG00000155592",219.0804,-0.1662405,0.1516996,-1.095853,0.2731431,0.5731161,FALSE
"ENSG00000155621",236.0406,-0.06581844,0.1808995,-0.3638398,0.7159776,0.8996437,FALSE
"ENSG00000155622",0.4972884,2.527972,2.959186,0.8542794,0.3929502,NA,NA
"ENSG00000155629",53.94649,-0.2753171,0.5997638,-0.4590425,0.6462036,0.8637852,FALSE
"ENSG00000155636",208.4995,0.1111171,0.1965968,0.565203,0.5719357,0.8190602,FALSE
"ENSG00000155640",112.6649,-0.3106959,0.284203,-1.093218,0.2742981,0.5746899,FALSE
"ENSG00000155657",470.8963,-0.002038594,0.3116416,-0.006541469,0.9947807,0.9983895,FALSE
"ENSG00000155659",0,NA,NA,NA,NA,NA,NA
"ENSG00000155660",3867.208,-0.3028398,0.1968139,-1.538712,0.1238747,0.3619932,FALSE
"ENSG00000155666",62.28258,-0.4237628,0.3563942,-1.189028,0.2344285,0.526222,FALSE
"ENSG00000155714",1.111888,0.2593944,1.850947,0.1401415,0.8885482,NA,FALSE
"ENSG00000155719",1.113469,-0.09164128,1.810071,-0.05062854,0.9596215,NA,FALSE
"ENSG00000155729",463.2163,0.01412043,0.1639839,0.0861086,0.9313801,0.9817883,FALSE
"ENSG00000155744",339.7078,-0.08250977,0.123159,-0.6699449,0.5028929,0.7727018,FALSE
"ENSG00000155749",21.78928,1.383929,0.4202771,3.292896,0.0009916123,0.01037869,FALSE
"ENSG00000155754",24.22613,-0.6793665,0.4340089,-1.565328,0.1175059,0.3498383,FALSE
"ENSG00000155755",884.1577,-0.334378,0.2452217,-1.363574,0.1727015,0.4405533,FALSE
"ENSG00000155760",1736.889,-0.4238552,0.2142861,-1.977988,0.04793009,0.1953448,FALSE
"ENSG00000155761",0.8777367,0.4591947,1.954096,0.2349909,0.8142158,NA,FALSE
"ENSG00000155792",32.92418,-0.5798164,0.3831332,-1.513355,0.1301896,0.3719341,FALSE
"ENSG00000155816",381.0705,0.5551074,0.3189674,1.740327,0.08180167,0.2781514,FALSE
"ENSG00000155827",1306.712,-0.3551003,0.09189229,-3.864311,0.0001114034,0.001739386,FALSE
"ENSG00000155833",1.339006,0.05691325,1.489371,0.03821294,0.9695179,NA,FALSE
"ENSG00000155846",17.35234,-0.02092997,0.4792117,-0.04367584,0.9651628,0.9914128,FALSE
"ENSG00000155849",31.03966,1.223904,0.6308984,1.939938,0.05238719,0.2071551,FALSE
"ENSG00000155850",678.2413,0.2909872,0.1290599,2.254667,0.02415421,0.1211911,FALSE
"ENSG00000155858",137.2853,0.3048854,0.1958472,1.556752,0.1195294,0.3541222,FALSE
"ENSG00000155868",170.6824,-0.001732587,0.2047569,-0.008461676,0.9932486,0.9976099,FALSE
"ENSG00000155875",3.32,-0.444468,1.031387,-0.4309422,0.6665104,NA,FALSE
"ENSG00000155876",2010.643,0.1603655,0.1048332,1.52972,0.1260861,0.3652923,FALSE
"ENSG00000155886",7.349849,0.1199199,0.5868998,0.2043277,0.8380974,NA,FALSE
"ENSG00000155890",0,NA,NA,NA,NA,NA,NA
"ENSG00000155893",444.5108,-0.7677679,0.1947395,-3.942539,8.062352e-05,0.001324342,FALSE
"ENSG00000155897",24.00886,-3.442674,0.762465,-4.51519,6.326012e-06,0.000143424,TRUE
"ENSG00000155903",811.0196,0.1625616,0.1619409,1.003833,0.3154593,0.6197245,FALSE
"ENSG00000155906",460.917,0.1797174,0.1650032,1.089175,0.2760766,0.5766516,FALSE
"ENSG00000155918",0.8613443,-1.077567,1.959308,-0.5499734,0.5823377,NA,FALSE
"ENSG00000155926",2.575535,0.9844715,1.291445,0.7623023,0.4458796,NA,FALSE
"ENSG00000155957",893.1165,0.2624597,0.1458516,1.799498,0.07193987,0.2563598,FALSE
"ENSG00000155959",540.9951,0.1057839,0.1605109,0.6590449,0.5098669,0.7770109,FALSE
